,speed,power
0,5.546886783216783,14922.795737342658
1,5.447008750000001,14333.692105000002
2,5.847054714285713,16944.36517221429
3,8.421027375886526,48099.87542723403
4,7.4526262758620705,33362.288034
5,6.937522916666667,27854.32915375
6,6.589801468531468,23058.790535244752
7,7.985483496503497,40081.336310069935
8,7.477266482758617,34268.389178
9,7.638879154929577,35652.579873591545
10,6.994056312056737,27533.995157092202
11,7.687977588652482,37495.4036158156
12,7.776111944444442,36568.88989263889
13,8.180279420289855,42574.36914869565
14,8.033054714285715,41533.13454528572
15,8.331331214285713,45764.48640407144
16,7.930536830985916,40021.14881866197
17,7.460761134751773,33912.838692624115
18,7.53089471830986,32954.49247161971
19,7.965340642857143,40123.495995428566
20,8.024317872340426,40904.49136581561
21,8.349137655172413,45128.676772000006
22,7.941477625899282,39544.99422043166
23,7.114329652777778,29116.16636736112
24,8.446548943661972,48984.74453105633
25,8.527655277777779,50159.16201125
26,8.024553642857141,40491.41652214286
27,9.17331,57936.26470338129
28,9.555367173913043,63479.51685804348
29,8.104474316546764,42089.21666453237
30,7.525222877697841,34668.640636115095
31,7.191058943661971,29955.01446802817
32,5.77683094890511,16104.7865029927
33,7.2193832394366195,30464.27380204225
34,7.948855390070922,38859.67737191488
35,8.248215734265735,43488.54141860139
36,8.146466197183099,42215.87847647887
37,7.8596502097902095,40224.98042825175
38,8.022401267605632,41890.01811190141
39,8.570088785714285,48662.25456407144
40,7.919453448275862,40004.01577200001
41,8.830237746478874,51506.38936514084
42,8.406671408450704,46774.71549640845
43,7.87797780141844,39793.089275815604
44,7.526747708333334,34421.92079923611
45,8.091084436619719,41907.22630345071
46,9.127691056338028,56466.5860828169
47,8.423788936170213,47450.58107489362
48,7.8296092361111125,38463.40569284724
49,8.446548943661972,48984.74453105633
50,8.527655277777779,50159.16201125
51,8.024553642857141,40491.41652214286
52,9.17331,57936.26470338129
53,9.555367173913043,63479.51685804348
54,8.104474316546764,42089.21666453237
55,7.525222877697841,34668.640636115095
56,7.191058943661971,29955.01446802817
57,5.77683094890511,16104.7865029927
58,7.2193832394366195,30464.27380204225
59,7.948855390070922,38859.67737191488
60,8.248215734265735,43488.54141860139
61,8.146466197183099,42215.87847647887
62,7.8596502097902095,40224.98042825175
63,8.022401267605632,41890.01811190141
64,8.570088785714285,48662.25456407144
65,7.919453448275862,40004.01577200001
66,8.830237746478874,51506.38936514084
67,8.406671408450704,46774.71549640845
68,7.87797780141844,39793.089275815604
69,7.526747708333334,34421.92079923611
70,8.091084436619719,41907.22630345071
71,9.127691056338028,56466.5860828169
72,8.423788936170213,47450.58107489362
73,7.8296092361111125,38463.40569284724
74,8.344580921985816,46880.58071914894
75,8.147836453900709,43551.0751331915
76,,
77,8.956414964539007,55431.42266212767
78,8.211789714285715,44257.51288392857
79,8.110817913669065,41885.3845481295
80,8.074953191489362,41723.158013333334
81,7.882543211678832,38964.48328291971
82,7.496310709219857,34415.585722198586
83,7.367128309859152,32177.93320415493
84,7.682104999999999,35796.46116183098
85,8.409803597122304,45609.09578920863
86,8.03228161971831,42259.98743971831
87,8.882660071428571,53990.59169935714
88,8.23414170212766,43852.95699879433
89,8.531429854014599,48859.67140240876
90,9.58154781690141,63896.31530647888
91,9.99981784172662,70732.51389179858
92,10.450172482269501,77839.17494056738
93,10.06398281690141,71410.21412197183
94,10.48427170212766,79871.63469794326
95,11.0029409352518,85931.37907302157
96,10.837513260869567,84787.961592971
97,9.275446338028168,59990.671094507044
98,7.8296092361111125,38463.40569284724
99,8.344580921985816,46880.58071914894
100,8.147836453900709,43551.0751331915
101,,
102,8.956414964539007,55431.42266212767
103,8.211789714285715,44257.51288392857
104,8.110817913669065,41885.3845481295
105,8.074953191489362,41723.158013333334
106,7.882543211678832,38964.48328291971
107,7.496310709219857,34415.585722198586
108,7.367128309859152,32177.93320415493
109,7.682104999999999,35796.46116183098
110,8.409803597122304,45609.09578920863
111,8.03228161971831,42259.98743971831
112,8.882660071428571,53990.59169935714
113,8.23414170212766,43852.95699879433
114,8.531429854014599,48859.67140240876
115,9.58154781690141,63896.31530647888
116,9.99981784172662,70732.51389179858
117,10.450172482269501,77839.17494056738
118,10.06398281690141,71410.21412197183
119,10.48427170212766,79871.63469794326
120,11.0029409352518,85931.37907302157
121,10.837513260869567,84787.961592971
122,9.275446338028168,59990.671094507044
123,9.375697463768118,61373.83092224638
124,8.48663041958042,48016.93306300699
125,8.86721804347826,54885.73268884059
126,8.840517801418441,53022.202107446814
127,8.05398823943662,42128.7881843662
128,7.784031739130434,38691.20407942029
129,7.311370489510487,31085.884133636366
130,7.217996231884057,30469.49066043478
131,7.443630422535211,32968.706468309865
132,7.079822999999998,28662.448111714282
133,7.036948848920862,28050.072255035968
134,6.90705963768116,27416.609637246383
135,6.694692482269503,24952.41683950355
136,6.999138888888887,29190.424784375
137,7.965745000000001,40729.87927364286
138,7.689762253521128,36717.16734119719
139,7.188744676258992,30339.009163741
140,7.866706666666667,39182.03270231884
